sentence1,sentence2,similarity_score
A boy in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,3.5
The kids are not wearing suits and water is splashing around,Children in swimming suits are playing in the water,2.8
"A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head","A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head",4.8
A female cheerleader is sitting on the knee of a male cheerleader,Some cheerleaders are relaxing,3.0
"The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back","The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",4.4
"The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back",A girl with red hair and red eyebrows is in midspeech,3.0
Two people are driving a jeep and a lady is sitting on the top of it,Two people are driving a jeep and a girl is sitting on the top of it,4.8
The adults and children are not gathered near an outdoor seating arrangement,The adults and children are being gathered near an outdoor seating arrangement,4.4
A girl has colored patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,2.4
Two dogs are running through water,Two dogs are running through high grass,3.335
Some people and vehicles are on a crowded street,Some people and vehicles are on a almost empty street,4.2
A young girl with painted face is standing next to some other children,Children are being dressed in costumes and playing a game,3.1
There is no bmx biker jumping dirt ramps in front of a body of water,Two bmx bikers are jumping dirt ramps in front of a body of water,4.4
A man is doing a trick on a skateboard,A person is doing a trick on a skateboard,4.4
A man in a motocross uniform is wearing a helmet and rides a red motorcycle,A person in a motocross uniform is wearing a helmet and rides a red motorcycle,4.8
A boy in a striped shirt is jumping behind a water fountain,A boy in a striped shirt is jumping in front of a water fountain,4.2
"Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain",Two dogs are leaping through snowy grass and rocks,2.4
A girl in blue is sliding down a green slide,The young girl in blue is enjoying a slide,4.3
A white man is walking next to a building in a big city,A black man is walking next to a building in a big city,3.3
A man with no hat is sitting on the ground,A man with a backwards hat is sitting on the ground,4.0
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,4.6
The man is going into the water,The person is going into the sea,4.1
Two people are sitting on a park bench on a sunny day,Two people are sitting on a park bench on a hot day,4.3
The child is splashing water in a big red pool,A toddler is making a splash inside a blue paddling pool,3.1
A grey silky dog is lying in the grass and a brown dog is looking on,The brown dog is spotting a black dog lying in the dry grass,3.2
A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog are standing next to the kitchen counter and are investigating,4.2
A man is not rock climbing and a city and a bay are in the background,A man is rock climbing and a city and a bay are in the background,4.4
"A man is rock climbing, pausing and calculating the route","A man is rock climbing, stopping and calculating the route",4.8
No group of people is gathering at a stand at the fair,The people are standing at a carnival,3.8
A group of rollerbladers is lining up on the street,A group of rollerbladers is lining up on the road,4.9
A skateboarder is jumping off a ramp,A skateboarder is making a jump off a ramp,4.8
A black and orange bird is standing in the grass,The black bird with a yellow beak is standing in the green grass,4.0
Two white dogs are quickly running together,Two white dogs are running together,4.6
A group of people are standing around a sound mixing table,Some people is looking at sound equipment,3.5
A girl is skipping rope on a sidewalk,A girl is skipping rope on near a street,4.3
A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on near a street,3.7
A dog is swimming in a body of water,An animal is swimming in a body of water,4.5
A woman is leaning on the ledge of a balcony,A man is leaning on the ledge of a balcony,3.8
A small white dog is running across a lawn,A big white dog is running across a lawn,3.1
The dog is on a leash and is walking near the water,A black dog on a leash is walking in the water,4.5
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,Two males are standing on a cliff edge and one is jumping into the water,4.0
A small group of people are standing and two are sitting on the sofa,A group of five young adults are lounging indoors,3.8
A young girl in a bikini is jumping on the beach,A young girl in swimming suite is jumping on the beach,4.4
A blond child is going down a slide and throwing up his arms,A child with dark hair is going down a slide and throwing up his arms,3.7
Two dogs are playing in a forest,A brown dog is running after a black dog on a rocky shore,2.3
A white dog is approaching a golden dog on pebbly beach,Two dogs are playing on a rocky beach,2.9
Two young girls are wearing hats and sticking their colored tongues out,Two kids are sticking out blue and green colored tongues,3.6
Two boys are laying in the ocean close to the beach,Two boys are laying in the water close to the beach,4.4
A large man is sitting in a military accessories store,A veteran is showing different things from a war to some people,2.8
A dog with a blue collar is playing with the ball outside,A grey dog is bouncing a soccer ball on its head in a grass field,3.4
A young woman with Indian clothing and henna on her hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry,2.4
A man in a jersey which is black is standing in a gym,A man in a black jersey is standing in a gym,4.9
A man in a black jersey is standing in a gym,A man is standing in a gym and is wearing a jersey,4.5
A little brown and white dog is running on the sidewalk,A little brown and white dog is running on the road,3.7
A dog is turning on the grass and pursuing a flying tennis ball,A yellow dog is chasing a ball,4.4
A woman in blue jeans is standing in front of a group of children beside a stone built house,No lady is standing on the street and is surrounded by school children,3.2
A lady is standing on the street and is surrounded by school children,A man in blue jeans is standing in front of a group of children beside a stone built house,2.0
A guy is leaping into the air in wood,A guy is leaping into the air in a wooded area,4.3
